type,instruction,pipelined,拍数,imm低字段,含义,备注
,TRCT8,N,5拍,,,"把4个Rx寄存器128*32bits的数截断成128*8bits，拼接方式：
imm[0]=0：Rx3,Rx2,Rx1,Rx0
imm[0]=1：Rx3[31],Rx2[31],Rx1[31],Rx0[31],..,Rx3[0],Rx2[0],Rx1[0],Rx0[0]

用于QMADD后的TRCT8：
imm[1]=1: Rx0 => src2;
imm[2]=1: Rx1 => src2;
imm[3]=1: Rx2 => src2;
imm[4]=1: Rx3 => src2;"
,QMADD,Y,2,,,
,EXPD32,Y,1,,,"根据imm字段的值判断int8扩展成int32的方式：
0:[simd124,simd120,…,simd4,simd0],  1:[simd125,simd121,…,simd5,simd1]
2:[simd126,simd122,…,simd6,simd2],  3:[simd127,simd123,…,simd7,simd3]
把寄存器128*8的数据取四分之一扩充成32*32"
mem inst,LDN（1024bit）,Y,6拍 （平均）,立即数偏移,,
,LDM（1024bit）,,6（平均）,,,"simd_mode[0]用dst_pe_idx[0]表示，simd_mode[1]用extra_fields【0】[0]表示，8bit/16bit的偏移用extra_fields【1】[1:0]表示；
simd_mode[1:0]=0   multiple 32x32bits模式
simd_mode[1:0]=1   multiple 16x64bits模式
simd_mode[1:0]=2   multiple 64x16bits模式
simd_mode[1:0]=3   multiple 128x8bits模式"
,LDSHIF（1024bit）,,6（平均）,,,"Value(Operand index 2) = SPM(LD Base Reg X +IMM (+/-)LRX[shft_No] * shft_cnt ) 
根据dst_pe_idx字段的值来指定，使用calUnit里面的8个暂存器LRX[0-7]之一做间接寻址。
dst_pe_idx[9]：0-加上暂存的地址偏移；1-减去暂存的地址偏移;
dst_pe_idx[8:3]：shft_cnt 
dst_pe_idx[2:0]：shft_No"
,HLDT（4096bit）,,24（平均）,,,"dst_pe_idx：n,4条硬件指令之间的偏移为（n+1）*32*4Bytes，详见word文档"
,ILDMT（4096bit）,,24（平均）,,,详见word文档
,SLDSHIF（4096bit）,,24（平均）,,," Value(Operand index 2) = SPM(LD Base Reg X +IMM (+/-)LRX[shft_No] * shft_cnt )  
汇编器可见，模拟器和硬件不可见。把指令翻译成四条LDSHIF指令(补充指令之间偏移设置信息)
dst_pe_idx[:10]：4条LDSHIFT指令间的硬件地址偏移
dst_pe_idx[9]：0-加上暂存的地址偏移；1-减去暂存的地址偏移;
dst_pe_idx[8:3]：shft_cnt 
dst_pe_idx[2:0]：shft_No"
,STD（1024bit）,,6（平均）,,,"other_info[0]==1，表示结合Mask寄存器；
other_info[0]==0 or NULL,表示不需要结合Mask寄存器；
other_info[:1]字段值(1~8):选择前面MASK指令存入的MASK暂存器: {Ext_flag,Ext_offset[1:0],Regid_off[1:0],double_mark,mask_val[4:0]}，送入ST部件处理，信息字段含义参考MASK指令备注。"
,STM（1024bit）,,6（平均）,,,"带store mask的store指令，指令本身带mask控制信息，无需结合MASK寄存器：
索引粒度为8bit，写回最低K={dst_pe_idx[4:0]，dst_pe_idx[8:7]}个分量，或者最高128-K个分量。
dst_pe_idx[4:0]: 
dst_pe_idx[6:5]: [hign,low]
dst_pe_idx[8:7]: 
[high,low]为2'b01，写寄存器内最高的128-K个分量；
[high,low]为2'b10，写寄存器最低的128-K个分量；
[high,low]为2'b00，表示所有分量全部写回;
K==0,所有分量全部写回；
"
,STSHIF（1024bit）,,6（平均）,,,"Value(Operand index 2) = SPM(LD Base Reg X +IMM (+/-)LRX[shft_No] * shft_cnt )  
dst_pe_idx[9]：0-加上暂存的地址偏移；1-减去暂存的地址偏移;
dst_pe_idx[8:3]：shft_cnt 
dst_pe_idx[2:0]：shft_No
选择是否配合mask寄存器：
other_info[0]==1，表示结合Mask寄存器；
other_info[0]==0 or NULL,表示不需要结合Mask寄存器；
other_info[:1]字段值(1~8):选择前面MASK指令存入的MASK暂存器: {Ext_flag,Ext_offset[1:0],Regid_off[1:0],double_mark,mask_val[4:0]}，送入ST部件处理，信息字段含义参考MASK指令备注。"
