Name,Function,Source operand,,,Destination  operand
FLT,Value(Operand index 2)  = Value(Operand index 0) < Value(Operand index 1) ? 1:0,Operand index 0,Operand index 1,,Operand index 2
FGT,Value(Operand index 2)  = Value(Operand index 0) > Value(Operand index 1) ? 1:0,Operand index 0,Operand index 1,,Operand index 2
FMADD,Value(Operand index 2)  = Value(Operand index 0) * Value(Operand index 1) + Value(Operand index 2)  ,Operand index 0,Operand index 1,Operand index 2,Operand index 2
FDIV,Value(Operand index 2)  = Value(Operand index 0) / Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
FRCP,Value(Operand index 2)  = 1/(Value(Operand index 0)),Operand index 0,,,Operand index 2
FSQRT,Value(Operand index 2)  = Sqrt(Value(Operand index 0)),Operand index 0,,,Operand index 2
FRSQRT,Value(Operand index 2)  = 1/Sqrt(Value(Operand index 0)),Operand index 0,,,Operand index 2
FSIN,Value(Operand index 2)  = sin(Value(Operand index 0)),Operand index 0,,,Operand index 2
FCOS,Value(Operand index 2)  = cos(Value(Operand index 0)),Operand index 0,,,Operand index 2
FLOG2,Value(Operand index 2)  = LOG2(Value(Operand index 0)),Operand index 0,,,Operand index 2
FEXP2,Value(Operand index 2)  = EXP2(Value(Operand index 0)),Operand index 0,,,Operand index 2
FP2DB,"imm==0: Value(Operand index 2) = double(Value(Operand index 0)(15:0))  simd32->simd16
imm>0: Value(Operand index 2) = double(Value(Operand index 0)(31:16))  simd32->simd16",Operand index 0,IMM(7:0),,Operand index 2
DB2FP,"Value(Operand index 2)(15:0) = float(Value(Operand index 0))  simd16->simd32
imm>0: Value(Operand index 2)(31:16) = float(Value(Operand index 0))  simd16->simd32
is disable for dc timing. Please use SHFL to reverse up and down",Operand index 0,,Operand index 2,Operand index 2
H2FP,"imm==0: Value(Operand index 2) = float(Value(Operand index 0)(31:0))  simd64->simd32
imm>0: Value(Operand index 2) = float(Value(Operand index 0)(63:32))  simd64->simd32",Operand index 0,IMM(7:0),,Operand index 2
FP2H,"Value(Operand index 2)(15:0) = half float(Value(Operand index 0))  simd32->simd64
imm>0: Value(Operand index 2)(31:16) = float(Value(Operand index 0))  simd16->simd32
is disable for dc timing. Please use SHFL to reverse up and down",Operand index 0,,Operand index 2,Operand index 2
FXP2FP,Value(Operand index 2) = float(Value(Operand index 0))  simd32->simd32,Operand index 0,,,Operand index 2
FP2FXP,Value(Operand index 2) = int(Value(Operand index 0))  simd32->simd32,Operand index 0,,,Operand index 2
SHFL,"imm[1:0]==0   immediate mode:
Value(Operand index 0)[59:0] = [dst5,dst4,dst3,dst2,dst1,dst0,    src5,src4,src3,src2,src1,src0]:
 (1)select 6 simds( src5,src4,src3,src2,src1,src0) from Value(Operand index 1),
 (2)place them to 6 simds(dst5,dst4,dst3,dst2,dst1,dst0) position of Value(Operand index 2).
32>dst5>dst4>dst3>dst2>dst1>dst0>=0;  srci < 32;  dsti==0 and i>0,  disable i postion
special use:  when Val(Operand index 0)==zeros, exchange up[1023:512] and down[511:0] of Val(Operand idx2)
指令写法参考：
IMM, , , idx_reg, 321579821758215(60位的index编码立即数)
shfl, idx_reg, val1, val2    
special use:shfl, idx_reg, , val2 ",Operand index 0[59:0],Operand index 1,Operand index 2,Operand index 2
